Energy,TMIN.W,TMAX.W,TMIN.S,TMAX.S,TMIN.I,TMAX.I
288.5,-6.313,4.007,15.521,27.188,4.854,17.167
293.9,-6.194,3.799,14.264,26.507,5.278,17.778
273.8,-4.993,4.153,15.931,29.896,5.049,16.257
278.4,-5.201,4.361,15.160,27.875,5.313,16.535
269.6,-7.569,2.542,14.708,27.132,7.333,18.944
266.9,-4.382,5.104,15.854,28.153,5.736,17.049
270.5,-3.389,6.014,16.083,28.493,5.035,18.069
294.1,-6.396,4.160,15.444,29.854,3.917,16.965
297.6,-6.326,3.319,15.313,26.681,4.313,16.257
263.5,-2.132,7.903,15.306,26.826,5.153,16.986
276.1,-3.556,5.438,15.792,28.743,6.819,17.701
276.6,-3.097,5.778,13.785,25.597,4.840,15.917
290.1,-5.174,3.375,15.646,26.458,4.618,16.083
280.5,-5.736,3.861,14.917,27.361,5.347,18.111
287.4,-5.576,4.694,16.139,28.354,4.208,15.896
313.2,-5.958,3.590,15.069,26.813,4.090,15.014
296.9,-4.271,4.625,14.993,26.458,3.403,14.861
264.3,-1.340,7.208,16.215,28.090,6.667,18.451
288.7,-4.868,5.222,15.271,28.646,5.993,18.833
295.6,-5.896,4.743,14.931,26.653,5.653,17.410
279.5,-4.090,5.049,15.007,26.993,6.833,19.403
301,-3.563,6.194,16.819,29.271,5.063,15.806
315,-5.903,3.813,14.826,26.590,5.646,17.646
290.9,-5.111,4.799,14.986,26.646,7.257,18.354
301.2,-4.701,4.215,16.847,28.882,5.528,17.944
269.7,-2.285,7.563,15.632,26.882,5.646,17.347
298.2,-4.604,4.569,15.736,29.069,6.188,18.660
310.4,-5.924,4.035,15.396,27.799,4.465,16.618
289.3,-5.604,4.583,15.000,26.097,5.556,16.521
292.8,-6.222,2.361,16.646,29.000,5.785,19.424
281.8,-4.299,4.757,16.326,27.924,6.368,17.799
256.6,-0.924,9.132,15.243,28.917,5.271,17.847
